Text,Identifies text: Diaries by year number; texts in vol 5 by text number; GYTs by tablet inventory number
Obj,planet
T_Era,king for regnal year or SE for Seleucid Era
T_Y,year number in Babylonian calendar
T_M,month number in Bab calendar
T_D,day number in Bab calendar
T_T,f = first part of night; l = last part of night
NS_Id,identifies normal star
NS_No,number of normal star in Sachs-Hunger list
Up,Y if there is a measurement above or below
Up_C,number of cubits; positive means above; negative means below
Up_F,number of fingers
Ahead,Y if there is a measurement behind or in front
Ahead_C,number of cubits; positive means behind; negative means in front
Ahead_F,number of fingers
Notes,miscellaneous including indication of uncertain readings or corrections to text
J_Y,Julian year number using astronomical convention -x = x+1 B.C.
J_M,number of Julian month
J_D,number of Julian calendar day; always the number of the day preceding the night
P_Long,tropical longitude from JPL ephemeris; midnight for outer planets; 4 hours before or after midnight for inners; midnight = 21 UT
P_Lat,latitude from JPL
NS_Long,tropical longitude of NS
NS_Lat,latitude of NS


Text,Obj,T_Era,T_Y,T_M,T_D,T_T,NS_Id,NS_No,Up,Up_C,Up_F,Ahead,Ahead_C,Ahead_F,Notes,J_Y,J_M,J_D,P_Long,P_Lat,NS_Long,NS_Lat
BM34053,Jupiter,SE,165,9,1,f,gGem,10,Y,3,,,,,,-146,12,10,69.2187997,-0.2491572,69.272424,-6.983351083
BM34053,Jupiter,SE,165,10,1,f,mGem,9,Y,,8,,,,,-145,1,9,65.9199438,-0.1658456,65.44368333,-1.039744583
BM34053,Jupiter,SE,165,11,3,f,mGem,9,Y,,8,,,,,-145,2,9,65.1189329,-0.0833471,65.44368333,-1.039744583
BM34053,Jupiter,SE,165,12,13,f,gGem,10,Y,2.67,,,,,,-145,3,21,68.4280018,0.0042784,69.28626333,-6.983235208
BM34292,Jupiter,SE,101,11,25,,gCap,31,Y,0.5,,,,,,-209,2,19,290.6682272,-0.5395161,290.9689086,-2.324596542
BM34646,Jupiter,SE,104,1,23,l,bAri,2,Y,-4,,,,,,-207,4,24,1.1670186,-1.2056329,3.294136458,8.408272542
BM34646,Jupiter,SE,104,8,4,f,aAri,3,,,,,,,,-207,10,30,7.4458549,-1.5825691,6.942950542,9.911716792
BM34646,Jupiter,SE,104,10,10,f,aAri,3,Y,-4,,,,,,-206,1,3,7.0584782,-1.2413028,6.956806417,9.91173225
BM34894/32443,Jupiter,SE,23,5,6,l,aGem,11,,,,,,,,-288,7,30,75.8610009,-0.2122567,78.42211,9.811276
BM34932,Jupiter,SE,75,8,9,l,bSco,27,,,,,,,,-236,11,23,212.0143839,0.9500154,212.1263458,1.283605667
BM35387,Jupiter,SE,59,1,16,f,gGem,10,Y,3.5,,,,,,-252,5,4,68.3207053,-0.0853164,67.80545467,-6.995633833
BM35387,Jupiter,SE,59,5,24,l,thCnc,14,Y,0.5,,,,,,-252,9,8,94.2240364,0.1511231,94.455685,-0.967960667
BM35387,Jupiter,SE,59,5,28,l,gCnc,15,Y,-0.5,,,,,,-252,9,12,94.7661155,0.1605114,96.28376467,2.994037667
BM35387,Jupiter,SE,59,9,12,f,hCnc,13,Y,,-20,,,,,-252,12,23,93.4447563,0.4536911,94.12032483,1.3609195
BM35388,Jupiter,SE,13,3,20,f,aLeo,18,N,,,Y,,-8,,-298,7,6,116.7783584,0.826604,118.0374213,0.363393
BM35388,Jupiter,SE,13,11,29,f,thLeo,20,Y,-4,,,,,,-297,3,8,133.6533531,1.508277,131.4621597,9.646301042
CBS17,Jupiter,SE,142,1,18,f,mGem,9,Y,,10,,,,,-169,4,20,65.6475816,-0.1247153,65.11112333,-1.042270583
CBS17,Jupiter,SE,142,2,1,f,gGem,10,Y,3.5,,,,,,-169,5,2,68.0862191,-0.1013382,68.95411933,-6.986016208
CBS17,Jupiter,SE,142,4,12,l,bGem,12,Y,-3,,,,,,-169,7,11,83.486168,0.0213326,83.41658133,6.514502833
CBS17,Jupiter,SE,142,6,18,l,hCnc,13,Y,-0.67,,,,,,-169,9,14,95.2416743,0.1507905,95.26841196,1.369361292
CBS17,Jupiter,SE,142,7,15,l,gCnc,15,Y,-1.5,,,,,text: above,-169,10,11,97.7583277,0.2198971,97.430631,3.001984917
CBS17,Jupiter,SE,142,7,22,l,dCnc,16,Y,,2,,,,,-169,10,18,98.0706507,0.2396141,98.54103571,-0.01204225
H60,Jupiter,Artax_II,19,1,11,,aAri,3,Y,-3,,N,,,error for bAri?,-385,5,1,357.9098773,-1.2407282,4.476604792,9.908965208
H60,Jupiter,Artax_II,20,3,25,,aTau,5,Y,1,6,N,,,,-384,7,1,38.5520743,-0.9608556,36.62541333,-5.632663333
H60,Jupiter,Artax_II,20,8,13,,aTau,5,Y,1,20,N,,,T_D?,-384,11,14,39.0902854,-1.0309969,36.62541333,-5.632663333
H60,Jupiter,Artax_II,20,11,12,,aTau,5,Y,1.67,,N,,,,-383,2,9,37.355009,-0.6659021,36.63926833,-5.632596458
H60,Jupiter,Artax_II,20,12.2,18,,bTau,6,Y,-2,-8,N,,,,-383,4,15,48.5807269,-0.4696473,49.45438921,5.188222708
H60,Jupiter,Artax_II,43,12.2,8,,hTau,4,,,,,,,,-360,3,22,24.3692797,-0.8954587,27.19944667,3.811846667
H60,Jupiter,Artax_II,44,3,28,,bTau,6,,,,N,,,,-360,7,9,48.2762071,-0.7913947,49.77272167,5.190125
